time_s,wind_speed_mps,disturbance,dos_flag,ack_flag,membership_low,membership_high,x1,x2,u_candidate,u_applied,release_attempt,release_success
0.0,12.076179269938608,0.0154623120870243,0,0,0.48095518251534797,0.519044817484652,0.07592157003034397,-0.04031866302452648,-0.08319044817484653,0.0,0,0
0.1,11.754854815682918,-0.0145342068844694,0,0,0.5612862960792704,0.4387137039207296,0.07060736344745298,-0.04142629572149906,-0.076735012014645,0.0,0,0
0.2,12.217312545317448,0.0438139344077672,0,0,0.44567186367063805,0.554328136329362,0.06846610255410134,-0.04030071447060515,-0.06985810710533391,0.0,0,0
0.3,12.279685953598866,-0.0104653490316953,0,0,0.43007851160028343,0.5699214883997166,0.06340710934211037,-0.040702149705850524,-0.06777605937210715,0.0,0,0
0.4,11.571625192123792,-0.0079646104162618,0,0,0.6070937019690521,0.3929062980309479,0.0591503692179628,-0.04105431043408958,-0.05945649521508653,0.0,0,0
0.5,11.74867057740602,0.0301258025374903,0,0,0.5628323556484949,0.4371676443515051,0.05705977933902041,-0.03998788948414125,-0.05383767387096999,0.0,0,0
0.6000000000000001,12.12099733420454,0.0395207297355288,0,0,0.4697506664488649,0.5302493335511351,0.05545119423124841,-0.03848414072865302,-0.052202034188553556,0.0,0,0
0.7000000000000001,12.024786744747349,0.0327967325660595,0,0,0.4938033138131628,0.5061966861868372,0.05362561982275934,-0.037249986510622564,-0.05083947586515467,0.0,0,0
0.8,12.114443710196197,-0.0285169310561843,0,0,0.47138907245095085,0.5286109275490491,0.04849369454678612,-0.037765226668618646,-0.049260337436501586,0.0,0,0
0.9,11.92016414069419,0.0408623927478433,0,0,0.5199589648264524,0.48004103517354757,0.04751251728023166,-0.03605199570137613,-0.04178270740613309,0.0,0,0
1.0,12.368038326573409,-0.0036676300841784,0,0,0.40799041835664784,0.5920095816433522,0.04398096804759488,-0.03555592035956206,-0.04198615302622426,0.0,0,0
1.1,12.357381187490834,0.0370268108209208,0,0,0.4106547031272916,0.5893452968727084,0.042925946893016154,-0.03376122119485556,-0.037461242029902975,0.0,0,0
